signatureID	similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	cellLine	time	_row
LINCSCP_38454	0.41453052	1.36187188e-11	245	ICI182, 780	LSM-45338	ESR1	0.12uM	MCF7	24h	LINCSCP_38454
LINCSCP_115049	0.4145205873	1.363549418e-11	245	WH-4-025	LSM-44937	NA	0.12uM	HS578T	24h	LINCSCP_115049
LINCSCP_145328	0.4144531718	1.374988519e-11	245	Tamatinib	LSM-1040	SYK	10uM	MDAMB231	24h	LINCSCP_145328
LINCSCP_67465	0.4144524486	1.375111736e-11	245	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	MCF7	24h	LINCSCP_67465
LINCSCP_132851	0.41444028	1.37718662e-11	245	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	10uM	MCF7	24h	LINCSCP_132851
LINCSCP_31254	0.4143877415	1.386180047e-11	245	CHEMBL2136110	LSM-2505	NA	10uM	MCF7	6h	LINCSCP_31254
LINCSCP_148019	0.4143872823	1.386258911e-11	245	PD-0325901	LSM-1101	MAP2K1|MAP2K2	10uM	NPC.CAS9	24h	LINCSCP_148019
LINCSCP_4423	0.4143721038	1.388867902e-11	245	NUTLIN 3	LSM-4288	MDM2	40uM	A549	24h	LINCSCP_4423
LINCSCP_164682	0.4143390144	1.394572133e-11	245	Dasatinib	LSM-1020	ABL1|BCR|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|YES1	10uM	SKL.C	24h	LINCSCP_164682
LINCSCP_58986	-0.4143037203	1.400681557e-11	245	THZ-2-98-01	LSM-42738	NA	10uM	VCAP	24h	LINCSCP_58986
LINCSCP_1667	0.4142788138	1.405008566e-11	245	MLS003126522	LSM-4227	NA	10uM	A375	6h	LINCSCP_1667
LINCSCP_66528	0.4142239444	1.414586948e-11	245	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	A549	6h	LINCSCP_66528
LINCSCP_17774	0.4141847558	1.421466866e-11	245	AZD-8055	LSM-1007	MTOR	10uM	HCC15	6h	LINCSCP_17774
LINCSCP_114233	0.4141731944	1.423502793e-11	245	Pracinostat	LSM-43290	NA	10uM	HME1	24h	LINCSCP_114233
LINCSCP_36844	0.4141674184	1.424520976e-11	245	NVP-AEW541	LSM-44953	IGF1R	10uM	MCF7	24h	LINCSCP_36844
LINCSCP_25725	0.4141577309	1.426230288e-11	245	Fedratinib	LSM-1142	FLT3|JAK2	10uM	HT29	6h	LINCSCP_25725
LINCSCP_128687	0.4141562033	1.426500018e-11	245	AZD-1775	LSM-1153	WEE1	10uM	HUVEC	24h	LINCSCP_128687
LINCSCP_100375	0.4140951768	1.437315793e-11	245	PD-0325901	LSM-1101	MAP2K1|MAP2K2	0.37uM	HCC515	24h	LINCSCP_100375
LINCSCP_105567	0.4140194611	1.450845942e-11	245	Lenvatinib (E7080)	LSM-45581	FLT1|FLT4|KDR	10uM	HELA	24h	LINCSCP_105567
LINCSCP_136788	0.4140011685	1.454133331e-11	245	Toremifene	LSM-42973	ESR1|ESR2	10uM	MCF7	24h	LINCSCP_136788
LINCSCP_251785	0.413984417	1.457150095e-11	245	Canertinib	LSM-1120	EGFR|ERBB2|ERBB4	10uM	MCF7	24h	LINCSCP_251785
LINCSCP_39388	0.4139734102	1.459135627e-11	245	AZD-8330	LSM-1165	MAP2K1|MAP2K2	1uM	MDAMB231	24h	LINCSCP_39388
LINCSCP_144844	0.4139710029	1.459570247e-11	245	apigenin	LSM-5206	NA	3.33uM	MDAMB231	24h	LINCSCP_144844
LINCSCP_29873	0.41393734	1.46566085e-11	245	Trametinib	LSM-1143	MAP2K1|MAP2K2	1uM	MCF10A	24h	LINCSCP_29873
LINCSCP_276	0.41391405	1.469889185e-11	245	4-Hydroxytamoxifen	LSM-42848	ESR1|ESR2	10uM	A375	24h	LINCSCP_276
LINCSCP_33892	0.4139117347	1.470310174e-11	245	BRD-K60297835	LSM-40570	NA	10uM	MCF7	24h	LINCSCP_33892
LINCSCP_994	0.4139040148	1.471714736e-11	245	CHEMBL520231	LSM-43280	XPO1	10uM	A375	6h	LINCSCP_994
LINCSCP_30060	0.4138331365	1.484671567e-11	245	PI-103	LSM-1126	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG	0.5uM	MCF10A	6h	LINCSCP_30060
LINCSCP_513	0.4138317254	1.484930635e-11	245	Arylmorpholine analog 37	LSM-3124	PRKDC	10uM	A375	6h	LINCSCP_513
LINCSCP_129333	0.4138166133	1.487707984e-11	245	PD-0325901	LSM-1101	MAP2K1|MAP2K2	0.12uM	HUVEC	24h	LINCSCP_129333
LINCSCP_67336	0.4138045114	1.489935752e-11	245	Wortmannin	LSM-3947	PIK3CA|PIK3CG|PLK1	10uM	MCF7	24h	LINCSCP_67336
LINCSCP_66385	0.413781803	1.494124771e-11	245	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	A375	6h	LINCSCP_66385
LINCSCP_56224	0.4137537743	1.499311031e-11	245	SPECTRUM_001259	LSM-1594	AR	10uM	VCAP	24h	LINCSCP_56224
