signatureID	similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	cellLine	time	_row
LINCSCP_115618	0.7020736768	0.01091599726	12	Dasatinib	LSM-1020	ABL1|BCR|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|YES1	0.12uM	HS578T	24h	LINCSCP_115618
LINCSCP_129911	0.7020713594	0.01091637437	12	PI-103	LSM-1126	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG	0.12uM	LNCAP	24h	LINCSCP_129911
LINCSCP_37382	0.7020621762	0.0109178688	12	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	3uM	MCF7	6h	LINCSCP_37382
LINCSCP_116517	-0.7020309001	0.01092295969	12	Sorafenib	LSM-1008	BRAF|DDR2|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RAF1|RET	10uM	HT29	24h	LINCSCP_116517
LINCSCP_26418	-0.7020289242	0.01092328137	12	CHEMBL2139663	LSM-29347	NA	10uM	HT29	6h	LINCSCP_26418
LINCSCP_51447	0.7020193228	0.0109248446	12	AZD-8055	LSM-1007	MTOR	0.1uM	SKBR3	24h	LINCSCP_51447
LINCSCP_89126	-0.7020188195	0.01092492654	12	Dabrafenib	LSM-6303	BRAF	0.37uM	HA1E	24h	LINCSCP_89126
LINCSCP_9495	0.7020173849	0.01092516012	12	Omacetaxine Mepesuccinate	LSM-3716	NA	0.5uM	A549	24h	LINCSCP_9495
LINCSCP_30753	0.7020167867	0.01092525753	12	KU0060648	LSM-4935	PIK3CA|PIK3CB|PIK3CD|PRKDC	10uM	MCF7	6h	LINCSCP_30753
LINCSCP_48784	-0.7019795065	0.01093132896	12	BRD-K48031880	LSM-39936	NA	10uM	PC3	24h	LINCSCP_48784
LINCSCP_148259	-0.7019756569	0.01093195605	12	MLS006011051	LSM-42801	BRAF	10uM	NPC.CAS9	24h	LINCSCP_148259
LINCSCP_28961	-0.7019701866	0.01093284718	12	CHEMBL2356537	LSM-6830	NA	3uM	HUH7	6h	LINCSCP_28961
LINCSCP_158096	0.7019593925	0.01093460575	12	TAK-242	LSM-45934	NA	0.04uM	PC3	24h	LINCSCP_158096
LINCSCP_7273	-0.7019459148	0.01093680182	12	(Z,E)-3-(imidazol-4-Ylmethylene)indolin-2-one	LSM-42866	EGFR	10uM	A549	24h	LINCSCP_7273
LINCSCP_84170	0.7019441303	0.01093709261	12	Dasatinib	LSM-1020	ABL1|BCR|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|YES1	0.12uM	ASC	24h	LINCSCP_84170
LINCSCP_36967	0.701919469	0.01094111189	12	PI-103	LSM-1126	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG	1uM	MCF7	6h	LINCSCP_36967
LINCSCP_56807	-0.7019099882	0.01094265737	12	Olaparib	LSM-1145	PARP1|PARP2|PARP3	40uM	VCAP	24h	LINCSCP_56807
LINCSCP_7640	-0.7019022039	0.0109439264	12	Cyclosporin A	LSM-1703	PPIA|PPP3CA	10uM	A549	6h	LINCSCP_7640
LINCSCP_109824	-0.7018989195	0.01094446187	12	Tosedostat	LSM-6286	ANPEP|C9orf3|DNPEP|ENPEP|ERAP1|ERAP2|LAP3|LNPEP|LVRN|METAP1|METAP1D|METAP2|NPEPL1|NPEPPS|RNPEP|RNPEPL1|XPNPEP1|XPNPEP2|XPNPEP3	0.37uM	HELA	24h	LINCSCP_109824
LINCSCP_88208	-0.7018757932	0.01094823283	12	Imatinib	LSM-1023	ABL1|BCR|CSF1R|KIT|PDGFRA|PDGFRB	0.37uM	HA1E	24h	LINCSCP_88208
LINCSCP_188854	0.7018740745	0.01094851312	12	Dicloxacillin	LSM-5234	NA	10uM	A549	24h	LINCSCP_188854
LINCSCP_12485	0.7018546392	0.01095168303	12	Tretinoin	LSM-42854	RARA|RARB|RARG|RORB	3uM	CD34	6h	LINCSCP_12485
LINCSCP_116208	0.7018225346	0.01095692081	12	Dasatinib	LSM-1020	ABL1|BCR|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|YES1	0.37uM	HT29	24h	LINCSCP_116208
LINCSCP_35392	0.7018151054	0.01095813312	12	Panobinostat	LSM-43059	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9	10uM	MCF7	24h	LINCSCP_35392
LINCSCP_32738	-0.7018082205	0.01095925671	12	BI 78D3	LSM-5817	MAPK8	10uM	MCF7	6h	LINCSCP_32738
LINCSCP_144581	-0.7018014486	0.01096036195	12	Neratinib	LSM-42778	EGFR|ERBB2|ERBB4	10uM	MDAMB231	24h	LINCSCP_144581
LINCSCP_14418	-0.7017807046	0.01096374805	12	Butein	LSM-42896	ACE	10uM	HA1E	24h	LINCSCP_14418
LINCSCP_137053	0.7017586186	0.01096735407	12	GSK-1070916	LSM-1062	AURKB|AURKC	3.33uM	MCF7	24h	LINCSCP_137053
LINCSCP_70494	-0.7017584915	0.01096737482	12	Aurora A Inhibitor I	LSM-1065	AURKA	10uM	A375	24h	LINCSCP_70494
LINCSCP_26216	-0.7017410736	0.0109702193	12	MLS002264451	LSM-2624	NA	10uM	HT29	6h	LINCSCP_26216
LINCSCP_46654	-0.7017388283	0.01097058602	12	PK04_098276	LSM-44591	NA	10uM	PC3	6h	LINCSCP_46654
LINCSCP_28242	-0.7017257892	0.01097271581	12	BRD-K36313546	LSM-10622	NA	10uM	HT29	24h	LINCSCP_28242
LINCSCP_5514	-0.7017194721	0.01097374776	12	KUC104337	LSM-2893	NA	10uM	A549	6h	LINCSCP_5514
LINCSCP_83117	0.7017093679	0.0109753985	12	SCHEMBL17378613	LSM-5749	CSF1R	3.33uM	ASC.C	24h	LINCSCP_83117
LINCSCP_128690	-0.7016964778	0.01097750463	12	AZD-1775	LSM-1153	WEE1	0.37uM	HUVEC	24h	LINCSCP_128690
LINCSCP_143183	-0.7016952035	0.01097771286	12	Lomitapide	LSM-45564	MTTP|P4HB	10uM	MCF7	24h	LINCSCP_143183
LINCSCP_67899	0.7016600017	0.01098346617	12	Wortmannin	LSM-3947	PIK3CA|PIK3CG|PLK1	10uM	PC3	24h	LINCSCP_67899
LINCSCP_53206	-0.7016505302	0.01098501455	12	Quinoclamine	LSM-6261	NA	10uM	SKM1	6h	LINCSCP_53206
LINCSCP_11746	-0.701642554	0.01098631862	12	Vemurafenib	LSM-1068	BRAF	10uM	BT20	24h	LINCSCP_11746
LINCSCP_67292	0.7016395772	0.01098680534	12	Trichostatin A, Streptomyces Sp.	LSM-42814	HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8	10uM	MCF7	6h	LINCSCP_67292
LINCSCP_82220	0.7016169873	0.0109904994	12	Dasatinib	LSM-1020	ABL1|BCR|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|YES1	0.12uM	A549	24h	LINCSCP_82220
LINCSCP_21267	0.7015715039	0.01099793998	12	JSH-23	LSM-5897	RELA	5uM	HCT116	6h	LINCSCP_21267
LINCSCP_12633	-0.7015620014	0.01099949494	12	CHEMBL399379	LSM-6245	ACLY	80uM	CORL23	6h	LINCSCP_12633
LINCSCP_67307	0.7015321028	0.01100438857	12	Trichostatin A, Streptomyces Sp.	LSM-42814	HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8	10uM	MCF7	6h	LINCSCP_67307
LINCSCP_208077	-0.7015243797	0.01100565291	12	Cyclosporine	LSM-42817	PPIA|PPP3CA	10uM	HA1E	6h	LINCSCP_208077
LINCSCP_53777	0.701515441	0.01100711638	12	Dactolisib	LSM-4255	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5	0.5uM	SNUC4	6h	LINCSCP_53777
LINCSCP_33324	0.7015011826	0.01100945111	12	CHEMBL318111	LSM-2138	NA	10uM	MCF7	24h	LINCSCP_33324
LINCSCP_34231	-0.7014976532	0.01101002909	12	MLS000517073	LSM-6179	NA	10uM	MCF7	6h	LINCSCP_34231
LINCSCP_88016	0.701490647	0.01101117649	12	MK-2206	LSM-1057	AKT1|AKT2|AKT3	10uM	HA1E	24h	LINCSCP_88016
LINCSCP_36144	0.7014859051	0.01101195311	12	BMS-536924	LSM-1210	IGF1R	10uM	MCF7	6h	LINCSCP_36144
LINCSCP_13254	0.7014831553	0.0110124035	12	STF62247	LSM-37217	NA	10uM	FIBRNPC	24h	LINCSCP_13254
LINCSCP_33058	-0.701458855	0.01101638418	12	CTK8H3236	LSM-1838	TACR1	10uM	MCF7	24h	LINCSCP_33058
LINCSCP_37191	0.7014105711	0.01102429681	12	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	MCF7	6h	LINCSCP_37191
LINCSCP_46216	0.7013990245	0.01102618967	12	BRD-K10010115	LSM-45102	NA	10uM	PC3	24h	LINCSCP_46216
LINCSCP_54764	0.7013878995	0.01102801363	12	BMS-536924	LSM-1210	IGF1R	10uM	T3M10	6h	LINCSCP_54764
LINCSCP_46986	-0.7013510779	0.0110340522	12	Vemurafenib	LSM-1068	BRAF	10uM	PC3	6h	LINCSCP_46986
LINCSCP_9243	0.7013488199	0.01103442258	12	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	1uM	A549	24h	LINCSCP_9243
