sig_id	x	y	DBSCAN-clustering	KMeans-clustering	p-value	Cell	Dose	Perturbation_ID	Time	Perturbation	EHR_Coprescribed_Drugs	EHR_Diagnoses	Phase	MOA	rings	scaffolds	n_rings	n_scaffolds	predicted_MOA	R2_Score	Batch	Scores
CPC006_HT115_6H:BRD-K04010869-001-02-6:1	-4.2346442627	1.8739912868	0	8	0.0007	HT115	1.0	BRD-K04010869	6.0	prostaglandin-a1	unknown	unknown	unknown	unknown	unknown	unknown	0.0	0.0	protein synthesis inhibitor	0.1264079364	CPC006	0.0344827586
CPC006_SW620_6H:BRD-K61033289-001-01-2:10	8.2221550682	1.792915693	0	1	0.0	SW620	10.0	BRD-K61033289	6.0	15-delta-prostaglandin-j2	unknown	unknown	unknown	unknown	unknown	unknown	0.0	0.0	protein synthesis inhibitor	0.1925750076	CPC006	-0.224137931
CPC004_HT29_6H:BRD-A84174393-236-03-0:10	-4.9166086266	-0.5663021322	0	6	0.028	HT29	10.0	BRD-A84174393	6.0	meloxicam	CYCLOBENZAPRINE	Unspecified polyarthropathy or polyarthritis, site unspecified	Launched	cyclooxygenase inhibitor	S1NCCc2ccccc12	n1ccsc1NCC2NSc3ccccc3C2	1.0	1.0	cyclooxygenase inhibitor	0.214435135	CPC004	0.0172413793
CPC006_MCF7_24H:BRD-K04853698-003-01-4:10	0.7686284561	3.2995197899	0	28	0.0	MCF7	10.0	BRD-K04853698	24.0	LDN-193189	unknown	unknown	Preclinical	bone morphogenic protein inhibitor	n1cccn2nccc12	c1ccc(cc1)N2CCNCC2	4.0	6.0	dopamine receptor antagonist	0.1426087881	CPC006	0.0344827586
CPC019_PC3_24H:BRD-K73371640-001-04-0:10	-1.2973614836	0.1391663847	0	10	0.0031	PC3	10.0	BRD-K73371640	24.0	SD-6-035-A4	unknown	unknown	unknown	unknown	O1c2ccccc2OC1	O1c2ccc(cc2OC1)CNCC3OCCCCCOc4ccccc4CNCC3	2.0	1.0	topoisomerase inhibitor	-0.1704321817	CPC019	0.0689655172
CPC017_NPC_24H:BRD-K34533029-001-01-0:10	1.1135938334	-3.436645457	0	17	0.0	NPC	10.0	BRD-K34533029	24.0	tyrphostin-AG-494	unknown	unknown	Preclinical	EGFR inhibitor	c1ccccc1	c1ccc(cc1)C=CCNc2ccccc2	1.0	1.0	MEK inhibitor	0.3706154301	CPC017	0.0689655172
CPC020_PC3_6H:BRD-K11558771-001-07-1:10	-4.1829641821	-9.2956236268	3	13	0.0	PC3	10.0	BRD-K11558771	6.0	droxinostat	unknown	unknown	Preclinical	HDAC inhibitor	c1ccccc1	unknown	1.0	0.0	HDAC inhibitor	0.0283827273	CPC020	-0.0517241379
CPC002_HA1E_6H:BRD-K91370081-001-10-3:10	3.6636812603	6.0142314697	4	4	0.0	HA1E	10.0	BRD-K91370081	6.0	anisomycin	unknown	unknown	Preclinical	DNA synthesis inhibitor	c1ccccc1	c1ccc(cc1)CC2NCCC2	1.0	1.0	protein synthesis inhibitor	0.0408168639	CPC002	0.0172413793
CPC005_VCAP_24H:BRD-A65440446-001-03-3:10	-2.9727884615	0.5529928736	0	21	0.0	VCAP	10.0	BRD-A65440446	24.0	cimaterol	unknown	unknown	Preclinical	adrenergic receptor agonist	c1ccccc1	unknown	1.0	0.0	adrenergic receptor antagonist	0.061260999	CPC005	-0.0172413793
CPC009_PC3_6H:BRD-K32318651-001-15-3:10	-3.2726087898	0.1507636951	0	21	0.0028	PC3	10.0	BRD-K32318651	6.0	acyclovir	FILGRASTIM	Herpes simplex without mention of complication	Launched	DNA polymerase inhibitor	n1cnc2[N]C=Nc2c1	unknown	1.0	0.0	Aurora kinase inhibitor	0.2137215801	CPC009	0.0517241379
