signatureID	similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	cellLine	time	_row
LINCSCP_92693	-0.9998891951	0.009477168225	3	179324-69-7	LSM-6281	ADRM1|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD6|PSMD7|PSMD8|SEM1	20uM	HA1E	24h	LINCSCP_92693
LINCSCP_277141	-0.9998891405	0.009479504745	3	BRD-K85885948	LSM-41959	NA	5uM	PC3	24h	LINCSCP_277141
LINCSCP_79345	0.9998889131	0.009489219899	3	Alisertib	LSM-37184	AURKA	3.33uM	A375	24h	LINCSCP_79345
LINCSCP_34815	0.999888502	0.009506763899	3	BRD-K56208365	LSM-14865	NA	5uM	MCF7	24h	LINCSCP_34815
LINCSCP_19625	0.9998883961	0.009511275733	3	atorvastatin	NA	DPP4|HMGCR	10uM	HCC515	6h	LINCSCP_19625
LINCSCP_215943	0.9998883529	0.00951312009	3	MLS003153121	LSM-2123	NA	10uM	HCC515	6h	LINCSCP_215943
LINCSCP_26648	0.9998881945	0.009519863583	3	F1679-0128	LSM-4626	NA	10uM	HT29	6h	LINCSCP_26648
LINCSCP_66369	0.9998879982	0.009528218935	3	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	A375	24h	LINCSCP_66369
LINCSCP_201884	-0.9998874532	0.009551372651	3	3-Chloro-l-alanine	LSM-6205	RPS2	0.001uM	A549	6h	LINCSCP_201884
LINCSCP_52572	-0.9998873791	0.009554517111	3	N-Desmethylclozapine	LSM-2206	CHRM1|DRD2|DRD3|HTR2A|HTR2C	10uM	SKB	24h	LINCSCP_52572
LINCSCP_86120	0.9998872264	0.009560993089	3	TORIN1	LSM-1079	MTOR	1.11uM	BT20	24h	LINCSCP_86120
LINCSCP_7070	0.9998870741	0.009567445922	3	Talipexole	LSM-3687	DRD2	10uM	A549	24h	LINCSCP_7070
LINCSCP_122192	-0.9998870666	0.009567761559	3	MG-132	LSM-1107	PSMB1	20uM	HT29	24h	LINCSCP_122192
LINCSCP_171365	-0.9998870327	0.009569198579	3	apicidin	LSM-45760	NA	1.11uM	YAPC	24h	LINCSCP_171365
LINCSCP_118998	0.9998868615	0.009576445805	3	Setiptiline	LSM-45982	NA	0.12uM	HT29	24h	LINCSCP_118998
LINCSCP_77795	-0.9998867592	0.009580774105	3	Prosteride	LSM-1842	SRD5A1|SRD5A2	3.33uM	A375	24h	LINCSCP_77795
LINCSCP_7442	-0.9998866423	0.0095857217	3	Cimetidine	LSM-2404	HRH2	10uM	A549	6h	LINCSCP_7442
LINCSCP_77192	-0.9998863209	0.009599301415	3	Semaxanib	LSM-42995	FLT1|FLT4|KDR|KIT|PDGFRB	3.33uM	A375	24h	LINCSCP_77192
LINCSCP_150014	0.999886284	0.009600858041	3	Dasatinib	LSM-1020	ABL1|BCR|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|YES1	0.12uM	NPC.TAK	24h	LINCSCP_150014
LINCSCP_30612	-0.9998862291	0.009603173615	3	L-690488	LSM-4703	IMPA1	10uM	MCF7	24h	LINCSCP_30612
LINCSCP_88563	-0.9998860812	0.009609415023	3	Osimertinib	LSM-6344	EGFR|ERBB2|ERBB3|ERBB4	3.33uM	HA1E	24h	LINCSCP_88563
LINCSCP_45345	-0.9998859807	0.009613650949	3	MLS001065864	LSM-4239	NA	10uM	PC3	24h	LINCSCP_45345
LINCSCP_6139	-0.9998857553	0.009623150384	3	CI-1040	LSM-1048	MAP2K1|MAP2K2	10uM	A549	24h	LINCSCP_6139
LINCSCP_53281	0.9998856819	0.009626242655	3	Brefeldin A	LSM-42812	NA	0.1uM	SKMEL1	6h	LINCSCP_53281
LINCSCP_55213	0.9998851931	0.009646802002	3	HLI-373	LSM-6225	MDM2	10uM	TYKNU	6h	LINCSCP_55213
LINCSCP_57350	-0.9998847764	0.009664289656	3	MLS000713637	LSM-1589	NA	10uM	VCAP	6h	LINCSCP_57350
LINCSCP_90855	-0.9998845233	0.009674901016	3	Palonosetron	LSM-5266	HTR3A	3.33uM	HA1E	24h	LINCSCP_90855
LINCSCP_114348	0.9998844838	0.009676552794	3	CGK733	LSM-1610	ATM|ATR	1.11uM	HME1	24h	LINCSCP_114348
LINCSCP_445	-0.999884106	0.009692367021	3	2-Phenylaminoadenosine	LSM-1705	ADORA2A	10uM	A375	6h	LINCSCP_445
LINCSCP_213324	-0.9998839316	0.009699655177	3	MLS004683634	LSM-6156	NA	0.04uM	HA1E	24h	LINCSCP_213324
LINCSCP_146534	0.999883423	0.009720886286	3	PHA-767491	LSM-6304	NA	0.37uM	NEU	24h	LINCSCP_146534
LINCSCP_44576	0.9998834165	0.009721153307	3	Robustic acid	LSM-3210	NA	10uM	PC3	24h	LINCSCP_44576
LINCSCP_146243	0.9998833022	0.009725920769	3	HG-14-10-04	LSM-6345	NA	1.11uM	MNEU.E	24h	LINCSCP_146243
LINCSCP_236788	-0.999883178	0.009731092447	3	MLS002699920	LSM-2252	NA	10uM	MCF7	24h	LINCSCP_236788
LINCSCP_18698	-0.9998829769	0.009739467379	3	CGP71683A	LSM-2692	NPY5R	10uM	HCC515	6h	LINCSCP_18698
LINCSCP_147017	0.9998829031	0.009742538101	3	VE-821	LSM-36358	NA	10uM	NEU	24h	LINCSCP_147017
LINCSCP_65571	0.999882094	0.009776138395	3	BRD-K09031632	LSM-37755	NA	10uM	VCAP	24h	LINCSCP_65571
LINCSCP_253060	0.9998819352	0.009782719951	3	BRD-K24621485	LSM-9922	NA	1uM	MCF7	24h	LINCSCP_253060
LINCSCP_33321	-0.9998818546	0.009786058417	3	Aminogenistein	LSM-2083	LCK	10uM	MCF7	24h	LINCSCP_33321
LINCSCP_127400	0.9998813993	0.009804895072	3	Indapamide	LSM-1936	KCNQ1|SLC12A3	0.12uM	HT29	24h	LINCSCP_127400
LINCSCP_152156	0.9998813108	0.009808556338	3	VE-821	LSM-36358	NA	0.04uM	PC3	24h	LINCSCP_152156
LINCSCP_26741	-0.9998810098	0.009820986363	3	SB 203580, SULFONE	LSM-6022	MAPK1|MAPK11|MAPK14	10uM	HT29	6h	LINCSCP_26741
LINCSCP_127169	0.9998808484	0.009827642602	3	Doxorubicin	LSM-4062	TOP2A	3.33uM	HT29	24h	LINCSCP_127169
LINCSCP_105774	0.9998807614	0.009831228626	3	Dexniguldipine	LSM-15285	NA	0.37uM	HELA	24h	LINCSCP_105774
LINCSCP_272052	0.9998801468	0.00985653442	3	LY404039	LSM-5605	GRM2|GRM3	10uM	PC3	24h	LINCSCP_272052
LINCSCP_33068	-0.9998798606	0.00986829786	3	Vitinoin	LSM-2135	RARA|RARB|RARG|RORB	10uM	MCF7	24h	LINCSCP_33068
LINCSCP_83171	-0.9998796187	0.009878226692	3	CDK9 Inhibitor	LSM-1197	NA	3.33uM	ASC.C	24h	LINCSCP_83171
LINCSCP_40257	0.9998795759	0.009879982287	3	Nifedipine	LSM-4176	CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA2D1	10uM	NCIH508	6h	LINCSCP_40257
LINCSCP_99516	-0.9998791566	0.009897168822	3	NVP-AUY922	LSM-1162	NA	10uM	HCC515	24h	LINCSCP_99516
LINCSCP_161270	-0.999878999	0.009903620396	3	Lonidamine	LSM-6272	NA	10uM	PC3	24h	LINCSCP_161270
LINCSCP_49213	0.9998789755	0.009904580871	3	Panobinostat	LSM-43059	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9	3uM	PC3	24h	LINCSCP_49213
LINCSCP_171614	0.9998783523	0.009930049929	3	Diclofensine (hydrochloride)	LSM-45632	NA	10uM	YAPC	24h	LINCSCP_171614
LINCSCP_258882	0.9998781977	0.009936360262	3	BRD-K09059649	LSM-8977	NA	10uM	NEU	24h	LINCSCP_258882
LINCSCP_212586	0.9998781887	0.009936725119	3	Vorinostat	LSM-3828	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8	10uM	HA1E	24h	LINCSCP_212586
LINCSCP_30108	-0.9998781285	0.009939180391	3	SCHEMBL16226502	LSM-43056	HSP90AA1	10uM	MCF7	24h	LINCSCP_30108
LINCSCP_63460	0.9998781191	0.00993956395	3	BRD-K79153888	LSM-13265	NA	5uM	VCAP	6h	LINCSCP_63460
LINCSCP_22691	-0.9998780794	0.00994118202	3	CHEMBL364005	LSM-3051	HTR6	10uM	HEPG2	6h	LINCSCP_22691
LINCSCP_145890	0.9998780292	0.009943230985	3	Sirolimus	LSM-42783	FKBP1A|MTOR	0.04uM	MDAMB231	3h	LINCSCP_145890
LINCSCP_192275	0.9998779088	0.009948134844	3	AC1L5AAF	LSM-3523	HTR1D	10uM	A549	24h	LINCSCP_192275
LINCSCP_83030	0.9998777255	0.009955603163	3	SGI-1776	LSM-6307	PIM1|PIM2|PIM3	0.37uM	ASC.C	24h	LINCSCP_83030
LINCSCP_5235	-0.999876904	0.009988988667	3	MLS002264497	LSM-2464	NA	10uM	A549	6h	LINCSCP_5235
LINCSCP_133238	0.9998760888	0.01002201007	3	LRRK2-IN-1	LSM-1086	LRRK2	0.12uM	MCF7	3h	LINCSCP_133238
LINCSCP_57601	-0.9998758627	0.01003115229	3	Triazolothiadiazine, 31	LSM-1514	NA	10uM	VCAP	6h	LINCSCP_57601
LINCSCP_241434	0.9998752902	0.01005425659	3	GW843682X	LSM-1014	PLK1|PLK3	10uM	MCF7	6h	LINCSCP_241434
LINCSCP_38600	-0.9998752315	0.01005662242	3	ML162	LSM-1493	NA	10uM	MCF7	24h	LINCSCP_38600
LINCSCP_81233	-0.9998748644	0.01007140654	3	Radicicol	LSM-43303	NA	3.33uM	A549	24h	LINCSCP_81233
LINCSCP_132394	0.9998745603	0.01008363669	3	Seliciclib	LSM-1001	CDK1|CDK2|CDK5|CDK7|CDK9	0.12uM	MCF7	3h	LINCSCP_132394
LINCSCP_35393	0.9998744752	0.01008705712	3	Panobinostat	LSM-43059	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9	3uM	MCF7	24h	LINCSCP_35393
LINCSCP_163690	0.9998744054	0.01008986151	3	BRD-K01425431	NA	NA	3.33uM	SKBR3	24h	LINCSCP_163690
LINCSCP_281575	-0.9998742957	0.0100942646	3	Fenretinide	LSM-42925	RARA	10uM	PHH	24h	LINCSCP_281575
LINCSCP_148731	-0.9998739296	0.01010895426	3	AT 7867	LSM-1155	NA	0.12uM	NPC	24h	LINCSCP_148731
