term	id	nGeneIds	pvalue	adjPvalue	oddsRatio	nOverlap	batch	timepoint	cellLine	batch2	perturbation	concentration	direction
DOS011_VCAP_24H_M09_geldanamycin_10uM down	73c9bedf-9335-48be-869b-30375ead27d1	250	4.027350654739278e-31	1.7781865961249564e-26	4.672512534818941	74	DOS011	VCAP	24H	M09	geldanamycin	10uM	down
DOS013_VCAP_24H_M09_geldanamycin_10uM down	73a83e93-7036-410b-b2b0-da5a1b28dde1	250	4.027350654739278e-31	1.7781865961249564e-26	4.672512534818941	74	DOS013	VCAP	24H	M09	geldanamycin	10uM	down
REP.B005_PC3_24H_E24_deforolimus_0.01uM down	b9016d9c-2374-4f0b-93f8-eb0902b5188c	250	4.027350654739278e-31	1.7781865961249564e-26	4.672512534818941	74	REP.B005	PC3	24H	E24	deforolimus	0.01uM	down
CPC006_HT29_6H_A04_wortmannin_10uM down	8278172c-a12d-4510-a1d0-1e63fd93268a	250	2.8039436651045156e-30	1.0009512129852514e-25	4.609370473537605	73	CPC006	HT29	6H	A04	wortmannin	10uM	down
AICHI001_THP1_4H_D06_BI-D1870_0.01uM up	dbf0fe55-44cf-4225-98b4-926d0062fa53	250	2.8039436651045156e-30	1.0009512129852514e-25	4.609370473537605	73	AICHI001	THP1	4H	D06	BI-D1870	0.01uM	up
REP.B012_HT29_24H_O20_cobimetinib_0.74uM down	df945feb-6e52-4531-82ed-761c115231f1	250	2.8039436651045156e-30	1.0009512129852514e-25	4.609370473537605	73	REP.B012	HT29	24H	O20	cobimetinib	0.74uM	down
FIBR006_MCLF033SZ_6H_B18_PP-30_4uM down	44de2fed-afb9-4a7c-8454-ea4d2c271917	250	2.8039436651045156e-30	1.0009512129852514e-25	4.609370473537605	73	FIBR006	MCLF033SZ	6H	B18	PP-30	4uM	down
REP.A011_PC3_24H_N09_PF-04691502_1.11uM down	b7ef32e3-a2b5-4891-977c-d69b980be23a	250	2.8039436651045156e-30	1.0009512129852514e-25	4.609370473537605	73	REP.A011	PC3	24H	N09	PF-04691502	1.11uM	down
KMS002_NOMO1_6H_F03_MW-STK33-1C_10uM down	b688e945-3331-4780-bbb0-0022a741a809	250	2.8039436651045156e-30	1.0009512129852514e-25	4.609370473537605	73	KMS002	NOMO1	6H	F03	MW-STK33-1C	10uM	down
ERG015_VCAP_24H_G18_BRD-K71188711_10uM down	529a6e28-0e5e-413f-8099-cb3323848f2c	250	2.8039436651045156e-30	1.0009512129852514e-25	4.609370473537605	73	ERG015	VCAP	24H	G18	BRD-K71188711	10uM	down
REP.A019_A375_24H_M24_PD-0325901_0.04uM down	4bf2d34e-b909-4598-b168-c04a0d16d27e	250	2.8039436651045156e-30	1.0009512129852514e-25	4.609370473537605	73	REP.A019	A375	24H	M24	PD-0325901	0.04uM	down
ERG005_VCAP_6H_C12_sirolimus_20uM down	6757bac2-86e2-4117-863c-06c116e3f61b	250	2.8039436651045156e-30	1.0009512129852514e-25	4.609370473537605	73	ERG005	VCAP	6H	C12	sirolimus	20uM	down
